
Project:     BUAATrolley2018165
Program:     Inertial Explorer Version 8.70.5101
Profile:     BUAADNCForPlot
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      D:\confi\Documents\SPANProject\BUAATrolley2018165.cts
ProcessInfo: BUAATrolley2018165 by Unknown on 9/17/2018 at 09:59:39

Datum:       WGS84
Master 1:    Name BDStarBaseOEM71, Status ENABLED
             Antenna height 0.000 m, to L1PC [Generic(NONE)]
             Lat, Lon, El Hgt 40 06 04.16122, 116 07 53.73361, 58.918 m [WGS84, 2018.452]
Master 2:    Name BJNM, Status DISABLED
             Antenna height 0.000 m, to ARP [NOV702GG(NONE)]
             Lat, Lon, El Hgt 40 14 43.16664, 116 13 26.87428, 109.122 m [WGS84, 2018.449]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=-0.275, y=-0.055, z=0.144 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=-0.275, y=-0.055, z=0.144 m (x-right, y-fwd, z-up, IMU->SENSOR)

 Week ,    CorrTime ,   HzSpeed ,   Heading , iFlag    , GP , GL , BD ,   PDOP , Update         ,        CARms ,  DopRms ,        L1Rms ,      COG
(week         (sec)       (m/s)       (deg)                              (dop)                             (m)     (m/s)            (m)      (deg)
 2005 ,  379507.000 ,     1.072 ,   -99.654 , PHS      ,  4 ,  2 ,  2 ,   1.87 ,  GV TR         ,        8.590 ,   0.161 ,        0.008 ,  287.379
 2005 ,  379508.000 ,     1.254 ,   -95.549 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379509.000 ,     1.267 ,   -97.275 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379510.000 ,     1.361 ,   -96.066 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379511.000 ,     1.091 ,   -94.365 , PHS      ,  0 ,  0 ,  1 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379512.000 ,     0.297 ,   -91.313 , PHS      ,  0 ,  0 ,  1 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379513.000 ,     0.259 ,   -84.219 , PHS      ,  2 ,  0 ,  1 ,   1.42 ,  GV TR         ,        3.050 ,   0.036 ,        0.000 ,  233.143
 2005 ,  379514.000 ,     0.012 ,   -82.300 , PHS      ,  3 ,  0 ,  2 ,  20.40 ,  GV TR         ,        1.930 ,   0.036 ,        0.001 ,    1.904
 2005 ,  379515.000 ,     0.017 ,   -82.198 , PHS      ,  3 ,  1 ,  2 ,  20.39 ,  GV TR         ,        1.600 ,   0.017 ,        0.000 ,    0.000
 2005 ,  379516.000 ,     0.044 ,   -80.943 , PHS      ,  3 ,  1 ,  2 ,  20.36 ,  GV TR         ,        1.590 ,   0.015 ,        0.000 ,  206.878
 2005 ,  379517.000 ,     0.046 ,   -79.735 , PHS      ,  3 ,  3 ,  3 ,   4.55 ,  GV TR         ,        3.340 ,   0.043 ,        0.001 ,    0.000
 2005 ,  379518.000 ,     0.182 ,   -76.998 , PHS      ,  3 ,  2 ,  3 ,   7.87 ,  GV TR         ,        1.420 ,   0.034 ,        0.002 ,  272.302
 2005 ,  379519.000 ,     0.787 ,  -101.654 , PHS      ,  3 ,  1 ,  3 ,   8.93 ,  GV TR         ,        1.640 ,   0.144 ,        0.003 ,  337.953
 2005 ,  379520.000 ,     0.640 ,   -98.435 , PHS      ,  3 ,  1 ,  3 ,   8.93 ,  GV TR         ,        1.580 ,   0.448 ,        0.007 ,  339.630
 2005 ,  379521.000 ,     0.511 ,   -87.519 , PHS      ,  3 ,  1 ,  3 ,   8.92 ,  GV TR         ,        1.550 ,   0.235 ,        0.006 ,  313.660
 2005 ,  379522.000 ,     0.426 ,   -73.185 , PHS      ,  3 ,  1 ,  2 ,  60.20 ,  TR            ,        1.380 ,   0.015 ,        0.014 ,   24.850
 2005 ,  379523.000 ,     1.050 ,   -90.445 , PHS      ,  2 ,  1 ,  1 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
